FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240117;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;243620.00;28480.00;180.00;9.80;284800.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;249900.00;36800.00;300.00;9.50;299400.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;120790.00;16200.00;192.00;9.40;161990.00;20250108
20240125;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;Financiera Efectiva S. A;Financiera;118000.00;18000.00;300.00;9.40;161000.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;236400.00;30000.00;180.00;8.90;279100.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;137270.00;18030.00;204.00;8.90;180300.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;120790.00;16200.00;120.00;9.40;161990.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;130925.00;17325.00;276.00;8.90;173250.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;140792.00;18422.00;240.00;8.90;184214.00;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;143455.75;18718.00;240.00;8.90;187173.75;20250108
20240125;NMIV;LIMA;LIMA;CHORRILLOS;150108;Scotiabank;Banco;202300.00;70000.00;300.00;8.55;285000.00;20250108
20240125;NMIV;LIMA;LIMA;BRENIA;150105;Scotiabank;Banco;277668.00;53500.00;300.00;8.55;343868.00;20250108
20240125;NMIV;LIMA;LIMA;SANTA ANITA;150137;Scotiabank;Banco;214700.00;90000.00;216.00;9.10;312000.00;20250108
20240125;NMIV;HUANUCO;HUANUCO;PILLCO MARCA;100111;CMAC Cusco;CMAC;128400.00;12000.00;130.00;13.89;160000.00;20250108
20240126;NMIV;LIMA;LIMA;JESUS MARIA;150113;BANBIF;Banco;251200.00;80000.00;240.00;9.50;343900.00;20250108
20240126;NMIV;LIMA;LIMA;JESUS MARIA;150113;BANBIF;Banco;231200.00;100000.00;240.00;9.30;343900.00;20250108
20240109;NMIV;LIMA;LIMA;LIMA;150101;Continental;Banco;187300.00;55000.00;300.00;8.80;255000.00;20250108
20240129;NMIV;CALLAO;CALLAO;CALLAO;070101;Scotiabank;Banco;209420.00;24680.00;300.00;8.60;246800.00;20250108
20240126;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;157460.00;29000.00;300.00;8.50;211460.00;20250108
20240126;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Continental;Banco;177600.00;34800.00;240.00;9.60;232000.00;20250108
20240126;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;Continental;Banco;103700.00;13900.00;200.00;9.60;139000.00;20250108
20240126;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Continental;Banco;185600.00;22800.00;240.00;9.60;228000.00;20250108
20240126;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;Continental;Banco;224700.00;58000.00;180.00;9.30;290000.00;20250108
