FECHA_DESEMBOLSO;PRODUCTO;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;IFI;TIPO_IFI;MONTO_CREDITO;MONTO_CUOTA_INICIAL;PLAZOS;TASA;MONTO_VALOR_VIVIENDA;FECHA_CORTE
20240117;NMIV;LIMA;LIMA;LIMA;150101;Credito;Banco;243620;28480;180;9.8;284800;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;249900;36800;300;9.5;299400;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;120790;16200;192;9.4;161990;20250108
20240125;NMIV;PIURA;PIURA;26 DE OCTUBRE;200115;Financiera Efectiva S. A;Financiera;118000;18000;300;9.4;161000;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;236400;30000;180;8.9;279100;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;137270;18030;204;8.9;180300;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;120790;16200;120;9.4;161990;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;130925;17325;276;8.9;173250;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;140792;18422;240;8.9;184214;20250108
20240125;NMIV;LIMA;LIMA;COMAS;150110;Financiera Efectiva S. A;Financiera;143455.75;18718;240;8.9;187173.75;20250108
20240125;NMIV;LIMA;LIMA;CHORRILLOS;150108;Scotiabank;Banco;202300;70000;300;8.55;285000;20250108
20240125;NMIV;LIMA;LIMA;BRENIA;150105;Scotiabank;Banco;277668;53500;300;8.55;343868;20250108
20240125;NMIV;LIMA;LIMA;SANTA ANITA;150137;Scotiabank;Banco;214700;90000;216;9.1;312000;20250108
20240125;NMIV;HUANUCO;HUANUCO;PILLCO MARCA;100111;CMAC Cusco;CMAC;128400;12000;130;13.89;160000;20250108
20240126;NMIV;LIMA;LIMA;JESUS MARIA;150113;BANBIF;Banco;251200;80000;240;9.5;343900;20250108
20240126;NMIV;LIMA;LIMA;JESUS MARIA;150113;BANBIF;Banco;231200;100000;240;9.3;343900;20250108
20240109;NMIV;LIMA;LIMA;LIMA;150101;Continental;Banco;187300;55000;300;8.8;255000;20250108
20240129;NMIV;CALLAO;CALLAO;CALLAO;70101;Scotiabank;Banco;209420;24680;300;8.6;246800;20250108
20240126;NMIV;LIMA;LIMA;COMAS;150110;Continental;Banco;157460;29000;300;8.5;211460;20250108
20240126;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Continental;Banco;177600;34800;240;9.6;232000;20250108
20240126;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;Continental;Banco;103700;13900;200;9.6;139000;20250108
20240126;NMIV;LIMA;LIMA;PUEBLO LIBRE;150121;Continental;Banco;185600;22800;240;9.6;228000;20250108
20240126;NMIV;JUNIN;HUANCAYO;HUANCAYO;120101;Continental;Banco;224700;58000;180;9.3;290000;20250108
20240126;FCTP;LIMA;CANIETE;MALA;150509;BANCO PICHINCHA;Banco;29537.5;10150;120;15;83000;20250108
20240126;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;168410;21490;240;9.28;214900;20250108
20240126;NMIV;ICA;ICA;ICA;110101;Credito;Banco;123000;57400;300;9.79;200000;20250108
20240126;NMIV;LIMA;LIMA;RIMAC;150128;Credito;Banco;164810;21090;180;9.4;210900;20250108
20240126;NMIV;LIMA;LIMA;BRENIA;150105;Credito;Banco;279480;36320;300;8.9;328500;20250108
20240126;NMIV;LIMA;LIMA;LINCE;150116;Credito;Banco;284300;33000;300;8.67;330000;20250108
20240126;NMIV;LIMA;LIMA;JESUS MARIA;150113;Credito;Banco;279615;51585;240;9.13;343900;20250108
20240126;NMIV;LAMBAYEQUE;CHICLAYO;LA VICTORIA;140106;Credito;Banco;191316;36004;240;10.19;240020;20250108
20240126;NMIV;PIURA;PIURA;CASTILLA;200104;Credito;Banco;198170;23430;180;9.45;234300;20250108
